estado,fase,visitas,d_pi,H_pi_nats,H_pi_norm,action_gap,ventaja_media
c=A dc=0 h=M dh=+ L=A dL=- preo=B,emergencia,18,0.000000,0.1641,0.0373,8.00829,8.31229
c=A dc=0 h=M dh=- L=M dL=- preo=B,emergencia,17,0.000000,0.3138,0.0714,7.66582,7.57118
c=A dc=0 h=M dh=0 L=B dL=0 preo=M,emergencia,17,0.000000,0.1057,0.0241,8.90973,8.80265
c=M dc=+ h=A dh=0 L=A dL=- preo=A,emergencia,17,0.000000,4.2119,0.9585,2.42970,2.40243
c=B dc=+ h=A dh=+ L=B dL=0 preo=M,emergencia,17,0.000000,0.0070,0.0016,11.88755,11.74931
c=M dc=0 h=A dh=0 L=B dL=+ preo=B,emergencia,17,0.000000,0.1183,0.0269,4.63885,9.26449
c=B dc=- h=A dh=0 L=B dL=+ preo=A,emergencia,17,0.000000,4.2445,0.9659,2.25000,2.26061
c=A dc=0 h=A dh=+ L=B dL=0 preo=M,emergencia,17,0.000000,3.2274,0.7344,1.54889,3.98202
c=M dc=0 h=A dh=+ L=B dL=0 preo=A,emergencia,17,0.000000,4.2586,0.9691,2.17518,2.19165
c=A dc=0 h=M dh=0 L=A dL=0 preo=B,emergencia,17,0.000000,2.9872,0.6798,3.21192,4.23873
c=B dc=0 h=M dh=+ L=B dL=0 preo=A,calma,17,0.000000,1.4825,0.3374,4.49165,5.59542
c=B dc=- h=B dh=+ L=B dL=+ preo=A,calma,17,0.000000,0.0450,0.0102,9.86493,9.74314
c=A dc=0 h=A dh=- L=B dL=- preo=M,emergencia,17,0.000000,4.0662,0.9253,2.64572,2.82261
c=M dc=0 h=A dh=+ L=M dL=0 preo=M,emergencia,17,0.000000,0.9285,0.2113,6.31846,6.24444
c=M dc=0 h=B dh=0 L=M dL=0 preo=A,calma,17,0.000000,2.3989,0.5459,2.71058,4.77297
c=M dc=- h=A dh=+ L=B dL=0 preo=A,emergencia,17,0.000000,4.3870,0.9983,0.00000,0.06360
c=A dc=- h=B dh=0 L=B dL=- preo=B,emergencia,17,0.000000,0.0031,0.0007,8.04453,15.45889
c=B dc=+ h=B dh=0 L=A dL=+ preo=M,prop_lenta,16,0.000000,0.0002,0.0000,15.95402,15.75706
c=M dc=+ h=A dh=0 L=A dL=+ preo=B,emergencia,16,0.000000,0.1198,0.0273,5.71077,8.83049
c=B dc=0 h=A dh=0 L=B dL=0 preo=M,emergencia,16,0.000000,0.0282,0.0064,10.37551,10.25048
c=M dc=0 h=M dh=+ L=A dL=0 preo=M,calma,16,0.000000,0.0027,0.0006,12.92257,12.76304
c=A dc=0 h=M dh=- L=B dL=0 preo=M,emergencia,16,0.000000,0.0328,0.0075,10.20851,10.08823
c=M dc=- h=B dh=- L=B dL=+ preo=M,calma,16,0.000000,0.1411,0.0321,4.16891,9.28689
c=A dc=0 h=B dh=+ L=B dL=0 preo=A,emergencia,16,0.000000,4.3899,0.9990,0.00000,0.03938
c=M dc=0 h=M dh=0 L=B dL=0 preo=M,calma,16,0.000000,0.0720,0.0164,9.34240,9.22706
c=B dc=- h=M dh=0 L=A dL=0 preo=A,calma,16,0.000027,0.1182,0.0269,8.78345,8.67905
c=M dc=0 h=M dh=- L=M dL=0 preo=A,calma,16,0.000000,1.0894,0.2479,2.69916,6.19080
c=A dc=- h=B dh=+ L=M dL=0 preo=B,emergencia,16,0.000000,0.9627,0.2191,2.60346,6.56461
c=M dc=0 h=A dh=0 L=B dL=0 preo=B,emergencia,16,0.000000,0.0123,0.0028,10.72150,11.14999
c=M dc=0 h=A dh=+ L=B dL=+ preo=A,emergencia,16,0.000000,4.3890,0.9988,0.00000,0.05363
c=B dc=- h=A dh=+ L=B dL=+ preo=A,emergencia,16,0.000000,1.8696,0.4255,5.26561,5.21719
c=B dc=0 h=A dh=- L=B dL=0 preo=M,emergencia,16,0.000000,0.0219,0.0050,10.65617,10.52461
c=A dc=- h=M dh=- L=B dL=+ preo=M,emergencia,16,0.000000,0.1419,0.0323,8.57278,8.47527
c=B dc=0 h=A dh=0 L=B dL=+ preo=M,emergencia,16,0.000000,0.0155,0.0035,11.03807,10.90180
c=A dc=- h=A dh=0 L=B dL=0 preo=B,emergencia,16,0.000000,4.3873,0.9984,0.00000,0.05516
c=M dc=- h=A dh=0 L=B dL=+ preo=A,emergencia,15,0.000000,4.3894,0.9988,0.00000,0.04493
c=A dc=+ h=M dh=+ L=M dL=- preo=A,emergencia,15,0.000000,4.3884,0.9986,0.00000,0.05093
c=M dc=0 h=M dh=- L=A dL=0 preo=M,calma,15,0.000000,0.0107,0.0024,11.44081,11.29956
c=A dc=0 h=B dh=0 L=A dL=- preo=M,emergencia,15,0.000000,4.1655,0.9479,0.16390,2.22341
c=B dc=0 h=B dh=- L=A dL=- preo=M,calma,15,0.000000,0.0041,0.0009,7.72897,15.14163
c=A dc=- h=B dh=- L=B dL=0 preo=M,emergencia,15,0.000000,0.1394,0.0317,8.59900,8.49434
c=M dc=0 h=M dh=0 L=B dL=+ preo=M,calma,15,0.000000,0.0402,0.0091,9.98570,9.86652
c=B dc=+ h=M dh=0 L=B dL=+ preo=M,prop_lenta,15,0.000000,0.3659,0.0833,2.22697,9.46432
c=M dc=- h=M dh=+ L=M dL=0 preo=A,calma,15,0.000000,0.1615,0.0368,8.35456,8.33121
c=A dc=- h=A dh=- L=M dL=- preo=M,emergencia,15,0.000000,4.3784,0.9964,0.86499,0.89184
c=B dc=+ h=A dh=- L=B dL=+ preo=B,emergencia,15,0.000000,0.0131,0.0030,11.21968,11.08117
c=A dc=0 h=A dh=- L=A dL=- preo=B,emergencia,15,0.000000,4.3901,0.9990,0.57757,0.58316
c=M dc=- h=A dh=- L=M dL=0 preo=B,emergencia,15,0.000000,0.0254,0.0058,10.49369,10.36414
c=B dc=- h=B dh=0 L=M dL=0 preo=A,calma,15,0.000000,0.1247,0.0284,8.72689,8.61915
c=A dc=+ h=A dh=0 L=M dL=- preo=B,emergencia,15,0.000000,0.9575,0.2179,6.26325,6.20593
c=B dc=+ h=A dh=+ L=A dL=- preo=M,emergencia,15,0.000000,0.0365,0.0083,10.09569,9.97106
c=A dc=- h=B dh=- L=M dL=+ preo=A,emergencia,15,0.000000,0.0271,0.0062,10.40948,10.29549
c=B dc=0 h=A dh=+ L=B dL=+ preo=A,emergencia,15,0.000000,4.3408,0.9878,1.62818,1.63698
c=M dc=- h=M dh=- L=M dL=0 preo=A,calma,14,0.000000,3.3699,0.7669,3.89366,3.85678
c=M dc=- h=M dh=0 L=B dL=+ preo=M,calma,14,0.000000,0.0225,0.0051,10.62154,10.49698
c=M dc=- h=M dh=0 L=M dL=- preo=A,calma,14,0.000000,2.1670,0.4931,2.29607,4.99361
c=M dc=+ h=A dh=+ L=M dL=0 preo=B,emergencia,14,0.000000,0.0535,0.0122,9.67209,9.55268
c=B dc=0 h=M dh=+ L=M dL=+ preo=A,calma,14,0.000000,0.2139,0.0487,8.11042,8.01125
c=M dc=- h=A dh=0 L=M dL=- preo=B,emergencia,14,0.000000,1.3801,0.3140,5.75920,5.69492
c=B dc=+ h=M dh=0 L=M dL=+ preo=A,prop_lenta,14,0.000000,0.0332,0.0075,10.19457,10.07816
c=A dc=+ h=M dh=0 L=M dL=0 preo=M,emergencia,14,0.000000,1.2581,0.2863,5.89189,5.82851
c=M dc=+ h=A dh=- L=B dL=+ preo=B,emergencia,14,0.000000,0.1181,0.0269,7.66521,8.69000
c=M dc=+ h=B dh=+ L=A dL=+ preo=A,prop_rapida,14,0.000000,0.1897,0.0432,5.84112,8.26316
c=M dc=+ h=B dh=0 L=A dL=+ preo=M,prop_rapida,14,0.000000,0.0060,0.0014,12.06076,11.91186
c=B dc=0 h=M dh=0 L=A dL=- preo=M,calma,14,0.000000,0.0002,0.0000,15.80352,15.61029
c=B dc=0 h=M dh=0 L=A dL=- preo=A,calma,14,0.000000,0.0726,0.0165,9.33315,9.21792
c=A dc=0 h=A dh=+ L=A dL=- preo=M,emergencia,14,0.000000,4.3915,0.9993,0.05346,0.07557
c=B dc=0 h=B dh=+ L=B dL=+ preo=M,calma,14,0.000000,0.0011,0.0002,13.90894,13.73722
c=A dc=+ h=B dh=- L=M dL=0 preo=B,emergencia,14,0.000000,0.0015,0.0003,13.59168,13.42388
c=B dc=- h=M dh=0 L=A dL=- preo=A,calma,14,0.000000,0.1182,0.0269,5.92323,8.81127
c=A dc=0 h=B dh=+ L=M dL=0 preo=A,emergencia,14,0.000000,2.8061,0.6386,4.41475,4.40051
c=B dc=+ h=A dh=+ L=A dL=0 preo=A,emergencia,14,0.000000,4.1714,0.9492,2.56796,2.54082
c=A dc=- h=B dh=0 L=B dL=0 preo=B,emergencia,14,0.000000,0.0124,0.0028,6.82829,12.28977
c=M dc=+ h=M dh=- L=M dL=0 preo=A,prop_rapida,14,0.000000,0.1240,0.0282,8.72167,8.62614
c=A dc=+ h=B dh=0 L=B dL=+ preo=A,emergencia,14,0.000000,0.7925,0.1803,6.52810,6.45025
c=M dc=0 h=M dh=0 L=A dL=+ preo=A,calma,14,0.000000,4.1345,0.9408,2.68190,2.65152
c=B dc=0 h=M dh=+ L=B dL=+ preo=M,calma,14,0.000000,0.0202,0.0046,10.74331,10.61195
c=M dc=0 h=M dh=+ L=M dL=- preo=A,calma,14,0.000000,1.3797,0.3140,5.75131,5.69555
c=B dc=+ h=B dh=0 L=M dL=- preo=A,prop_lenta,13,0.000000,0.1336,0.0304,5.28315,8.77638
c=A dc=- h=B dh=- L=A dL=0 preo=M,emergencia,13,0.000000,0.2683,0.0610,7.84581,7.75269
c=B dc=0 h=M dh=0 L=A dL=0 preo=A,calma,13,0.000000,0.1036,0.0236,8.93586,8.82554
c=A dc=- h=B dh=0 L=A dL=+ preo=A,emergencia,13,0.000000,4.1618,0.9470,2.59751,2.57104
c=A dc=0 h=A dh=- L=M dL=+ preo=M,emergencia,13,0.000000,2.3993,0.5460,4.77663,4.75679
c=B dc=0 h=M dh=0 L=B dL=+ preo=M,calma,13,0.000000,0.0027,0.0006,12.91654,12.76093
c=M dc=0 h=B dh=- L=M dL=- preo=A,calma,13,0.000000,1.2568,0.2860,5.90224,5.82937
c=A dc=0 h=A dh=- L=A dL=- preo=A,emergencia,13,0.000000,4.3348,0.9864,1.67353,1.68514
c=B dc=+ h=A dh=0 L=A dL=- preo=B,emergencia,13,0.000000,0.0055,0.0012,12.16703,12.01935
c=B dc=+ h=A dh=+ L=B dL=0 preo=B,emergencia,13,0.000000,0.0003,0.0001,15.29634,15.10750
c=M dc=- h=B dh=0 L=B dL=- preo=A,calma,13,0.000000,0.8362,0.1903,6.46070,6.38094
c=A dc=+ h=M dh=0 L=B dL=+ preo=A,emergencia,13,0.000000,4.3907,0.9991,0.39932,0.42100
c=B dc=0 h=B dh=- L=A dL=0 preo=M,calma,13,0.000000,0.0002,0.0001,15.52573,15.33405
c=M dc=0 h=B dh=0 L=B dL=0 preo=M,calma,13,0.000027,0.0003,0.0001,11.17843,15.99834
c=M dc=0 h=A dh=0 L=A dL=- preo=M,emergencia,13,0.000000,1.0150,0.2310,6.19959,6.12557
c=B dc=+ h=M dh=0 L=M dL=- preo=A,prop_lenta,13,0.000000,0.0295,0.0067,10.32197,10.20385
c=A dc=+ h=A dh=- L=B dL=0 preo=M,emergencia,13,0.000000,2.8872,0.6570,4.34872,4.32803
c=M dc=+ h=M dh=- L=A dL=- preo=M,prop_rapida,13,0.000000,0.0201,0.0046,10.74559,10.61994
c=M dc=- h=M dh=- L=A dL=0 preo=A,calma,13,0.000000,1.8797,0.4278,5.25509,5.20752
c=M dc=- h=A dh=0 L=B dL=0 preo=A,emergencia,13,0.000000,4.3894,0.9988,0.00000,0.04328
c=M dc=- h=M dh=+ L=B dL=0 preo=M,calma,13,0.000000,0.0083,0.0019,11.70984,11.57339
c=M dc=- h=M dh=+ L=B dL=0 preo=B,calma,13,0.000000,0.0018,0.0004,13.39363,13.22828
c=B dc=- h=B dh=- L=A dL=- preo=A,calma,13,0.000000,0.2664,0.0606,7.85446,7.76034
c=M dc=+ h=A dh=- L=M dL=0 preo=B,emergencia,13,0.000000,0.0125,0.0028,11.27028,11.13179
c=B dc=+ h=A dh=+ L=B dL=+ preo=A,emergencia,12,0.000000,4.1574,0.9461,2.58760,2.58048
c=M dc=- h=B dh=- L=B dL=0 preo=M,calma,12,0.000000,0.0271,0.0062,10.41380,10.29719
c=A dc=- h=A dh=0 L=B dL=+ preo=M,emergencia,12,0.000000,4.3790,0.9965,0.51330,0.57591
c=M dc=- h=B dh=0 L=B dL=0 preo=B,calma,12,0.000000,0.0006,0.0001,14.47011,14.29147
c=A dc=+ h=A dh=- L=M dL=- preo=M,emergencia,12,0.000000,1.8616,0.4236,5.28789,5.22261
c=B dc=- h=M dh=0 L=M dL=0 preo=A,calma,12,0.000027,1.3721,0.3122,5.77348,5.70220
c=M dc=0 h=B dh=0 L=A dL=0 preo=A,calma,12,0.000000,1.3900,0.3163,5.75406,5.68302
c=B dc=- h=B dh=0 L=B dL=0 preo=A,calma,12,0.000000,0.0478,0.0109,9.79555,9.67627
c=B dc=- h=M dh=- L=B dL=0 preo=A,calma,12,0.000000,0.0159,0.0036,11.01011,10.87436
c=M dc=- h=A dh=0 L=M dL=+ preo=B,emergencia,12,0.000000,0.0053,0.0012,12.20387,12.05851
c=A dc=- h=B dh=+ L=M dL=0 preo=M,emergencia,12,0.000000,3.5904,0.8170,3.64458,3.60369
c=A dc=- h=A dh=- L=B dL=+ preo=B,emergencia,12,0.000000,4.3876,0.9985,0.18981,0.22722
c=M dc=- h=B dh=- L=B dL=+ preo=A,calma,12,0.000000,0.1407,0.0320,8.58681,8.48400
c=M dc=+ h=A dh=+ L=A dL=- preo=B,emergencia,12,0.000000,0.0096,0.0022,11.56264,11.41990
c=A dc=0 h=A dh=- L=A dL=0 preo=B,emergencia,12,0.000000,0.4611,0.1049,7.20709,7.11811
c=A dc=- h=M dh=0 L=B dL=- preo=M,emergencia,12,0.000000,0.3933,0.0895,3.13180,7.84370
c=B dc=+ h=B dh=0 L=M dL=0 preo=M,prop_lenta,12,0.000000,0.0007,0.0002,14.42033,14.24230
c=A dc=0 h=A dh=- L=M dL=- preo=M,emergencia,12,0.000000,4.2501,0.9672,2.24404,2.23865
c=A dc=0 h=A dh=- L=B dL=+ preo=B,emergencia,12,0.000000,4.3877,0.9985,0.08180,0.12563
c=A dc=0 h=B dh=- L=M dL=+ preo=A,emergencia,12,0.000000,3.2527,0.7402,4.01862,3.97845
c=M dc=+ h=M dh=0 L=B dL=+ preo=A,prop_rapida,12,0.000000,1.1246,0.2559,6.05877,5.98556
c=M dc=+ h=A dh=- L=B dL=+ preo=M,emergencia,12,0.000000,1.1139,0.2535,4.16902,6.03071
c=M dc=0 h=B dh=+ L=B dL=0 preo=A,calma,11,0.000000,0.6661,0.1516,6.75293,6.66956
c=B dc=+ h=M dh=+ L=B dL=+ preo=A,prop_lenta,11,0.000027,0.0310,0.0071,10.27577,10.14890
c=M dc=0 h=B dh=- L=A dL=+ preo=A,calma,11,0.000000,1.1024,0.2509,6.08425,6.01361
c=B dc=0 h=B dh=+ L=B dL=0 preo=M,calma,11,0.000000,0.0002,0.0000,15.90051,15.70421
c=B dc=0 h=A dh=- L=B dL=+ preo=M,emergencia,11,0.000000,0.0221,0.0050,10.64532,10.51389
c=A dc=- h=M dh=- L=B dL=- preo=A,emergencia,11,0.000000,4.3921,0.9995,0.00000,0.02746
c=M dc=- h=M dh=0 L=A dL=0 preo=A,calma,11,0.000000,2.8128,0.6401,4.43629,4.39277
c=A dc=0 h=M dh=+ L=M dL=0 preo=B,emergencia,11,0.000000,0.6588,0.1499,6.76679,6.68325
c=M dc=+ h=A dh=0 L=M dL=0 preo=M,emergencia,11,0.000000,0.0042,0.0009,12.45984,12.30838
c=A dc=- h=M dh=- L=M dL=+ preo=B,emergencia,11,0.000000,0.0094,0.0021,11.58055,11.43758
c=A dc=0 h=M dh=+ L=B dL=0 preo=A,emergencia,11,0.000000,4.3890,0.9988,0.00000,0.03620
c=M dc=- h=A dh=- L=B dL=- preo=B,emergencia,11,0.000000,3.5273,0.8027,3.71675,3.68001
c=M dc=- h=B dh=- L=B dL=- preo=A,calma,11,0.000000,0.4884,0.1111,3.43711,7.37777
c=A dc=+ h=B dh=+ L=M dL=0 preo=B,emergencia,11,0.000000,0.0031,0.0007,12.77940,12.62162
c=A dc=0 h=M dh=+ L=A dL=+ preo=A,emergencia,11,0.000000,4.1385,0.9418,2.64358,2.63637
c=A dc=- h=B dh=- L=M dL=0 preo=M,emergencia,11,0.000000,0.0816,0.0186,9.19881,9.08949
c=A dc=+ h=B dh=0 L=B dL=0 preo=A,emergencia,11,0.000000,1.9710,0.4485,5.17810,5.12475
c=M dc=- h=M dh=0 L=B dL=- preo=A,calma,10,0.000000,0.1173,0.0267,8.78720,8.68925
c=M dc=+ h=M dh=- L=A dL=+ preo=A,prop_rapida,10,0.000000,4.3909,0.9992,0.53687,0.53970
c=A dc=- h=A dh=- L=B dL=0 preo=B,emergencia,10,0.000000,4.3862,0.9981,0.26931,0.30479
c=M dc=0 h=M dh=+ L=M dL=0 preo=A,calma,10,0.000000,0.8185,0.1862,4.35382,6.45442
c=A dc=- h=M dh=0 L=M dL=0 preo=M,emergencia,10,0.000000,0.4633,0.1054,7.19652,7.11276
c=A dc=- h=B dh=0 L=B dL=+ preo=M,emergencia,10,0.000000,0.4095,0.0932,4.42301,7.38727
c=B dc=+ h=A dh=0 L=A dL=0 preo=M,emergencia,10,0.000000,0.0199,0.0045,10.76053,10.62999
c=M dc=+ h=A dh=+ L=A dL=- preo=M,emergencia,10,0.000000,0.3533,0.0804,7.52600,7.43309
c=A dc=0 h=M dh=+ L=M dL=0 preo=A,emergencia,10,0.000000,4.3903,0.9990,0.00000,0.03561
c=A dc=0 h=M dh=- L=B dL=0 preo=B,emergencia,10,0.000000,0.0079,0.0018,11.77295,11.62760
c=A dc=- h=A dh=- L=M dL=0 preo=M,emergencia,10,0.000000,4.3394,0.9875,1.59642,1.61923
c=B dc=- h=B dh=+ L=A dL=- preo=A,calma,10,0.000000,0.0825,0.0188,8.68706,9.07907
c=A dc=- h=M dh=0 L=M dL=- preo=B,emergencia,10,0.000000,0.1929,0.0439,8.22991,8.12831
c=B dc=- h=A dh=- L=B dL=0 preo=M,emergencia,10,0.000000,0.0498,0.0113,5.86186,10.95897
c=A dc=+ h=A dh=+ L=A dL=+ preo=B,emergencia,10,0.000000,4.3888,0.9987,0.66725,0.66761
c=A dc=- h=M dh=0 L=B dL=+ preo=M,emergencia,10,0.000000,0.0944,0.0215,9.03924,8.92765
c=B dc=- h=A dh=+ L=B dL=0 preo=A,emergencia,10,0.000000,4.0427,0.9200,2.89852,2.87896
c=A dc=- h=B dh=0 L=A dL=0 preo=M,emergencia,10,0.000000,0.6627,0.1508,3.07951,6.92929
c=A dc=- h=B dh=0 L=A dL=0 preo=B,emergencia,10,0.000000,0.0079,0.0018,8.20524,11.96816
c=A dc=+ h=M dh=0 L=M dL=+ preo=A,emergencia,10,0.000000,4.3909,0.9992,0.27203,0.29626
c=B dc=+ h=M dh=+ L=M dL=- preo=A,prop_lenta,10,0.000000,0.2305,0.0525,8.02492,7.92584
c=A dc=+ h=M dh=- L=M dL=- preo=A,emergencia,10,0.000000,4.3921,0.9995,0.00000,0.02607
c=M dc=- h=B dh=0 L=M dL=- preo=A,calma,10,0.000027,0.2835,0.0645,7.78474,7.68863
c=A dc=+ h=B dh=+ L=A dL=- preo=B,emergencia,10,0.000000,0.0022,0.0005,13.16562,13.00308
c=A dc=- h=A dh=- L=B dL=- preo=M,emergencia,10,0.000000,4.3870,0.9983,0.01423,0.05800
c=B dc=- h=B dh=- L=A dL=0 preo=A,calma,9,0.000000,0.2929,0.0667,7.74643,7.65080
c=A dc=0 h=B dh=- L=M dL=0 preo=B,emergencia,9,0.000000,0.0017,0.0004,13.45022,13.28417
c=B dc=- h=M dh=+ L=B dL=0 preo=M,calma,9,0.000000,0.0090,0.0020,11.62335,11.48388
c=A dc=+ h=B dh=- L=B dL=0 preo=A,emergencia,9,0.000000,1.8589,0.4230,1.67862,5.31582
c=A dc=+ h=A dh=0 L=M dL=- preo=M,emergencia,9,0.000000,1.5583,0.3546,5.56774,5.51285
c=A dc=+ h=A dh=0 L=B dL=0 preo=M,emergencia,9,0.000000,4.2270,0.9619,2.34144,2.33666
c=A dc=+ h=A dh=0 L=B dL=0 preo=B,emergencia,9,0.000000,4.1720,0.9494,2.55717,2.53765
c=A dc=- h=M dh=+ L=B dL=0 preo=M,emergencia,9,0.000000,0.1010,0.0230,8.96185,8.85313
c=A dc=0 h=M dh=0 L=A dL=- preo=B,emergencia,9,0.000000,4.2393,0.9647,2.28663,2.28146
c=A dc=0 h=M dh=0 L=A dL=- preo=A,emergencia,9,0.000000,4.3910,0.9992,0.06184,0.07920
c=A dc=+ h=B dh=0 L=A dL=+ preo=M,emergencia,9,0.000000,0.1367,0.0311,8.62018,8.51595
c=A dc=0 h=A dh=- L=A dL=+ preo=M,emergencia,9,0.000000,1.2185,0.2773,5.94385,5.87363
c=A dc=- h=M dh=- L=M dL=0 preo=M,emergencia,9,0.000000,0.0127,0.0029,11.25321,11.11603
c=M dc=+ h=M dh=+ L=M dL=0 preo=A,prop_rapida,9,0.000027,1.0856,0.2470,6.10951,6.03409
c=B dc=+ h=M dh=+ L=M dL=+ preo=A,prop_lenta,9,0.000000,0.0383,0.0087,10.03763,9.92159
c=M dc=- h=M dh=- L=B dL=0 preo=M,calma,9,0.000000,0.1580,0.0360,8.44605,8.35470
c=M dc=- h=M dh=- L=B dL=+ preo=A,calma,9,0.000000,0.6157,0.1401,6.84117,6.76866
c=M dc=0 h=B dh=- L=A dL=0 preo=M,calma,9,0.000000,0.0026,0.0006,12.96901,12.81614
c=A dc=- h=B dh=0 L=M dL=0 preo=B,emergencia,9,0.000000,0.0004,0.0001,15.02929,14.84571
c=M dc=- h=B dh=+ L=M dL=0 preo=A,calma,9,0.000000,3.2567,0.7411,4.02131,3.97417
c=A dc=- h=M dh=- L=B dL=- preo=M,emergencia,9,0.000000,0.4503,0.1025,7.23576,7.14643
c=M dc=0 h=B dh=- L=B dL=0 preo=A,calma,9,0.000000,0.0108,0.0025,11.42673,11.28566
c=M dc=+ h=A dh=+ L=B dL=0 preo=B,emergencia,9,0.000000,0.1255,0.0286,8.71907,8.61142
c=B dc=+ h=A dh=+ L=A dL=- preo=B,emergencia,9,0.000000,0.0081,0.0019,11.73823,11.59331
c=M dc=- h=B dh=- L=M dL=- preo=A,calma,9,0.000000,2.1622,0.4920,5.01775,4.95581
c=B dc=0 h=A dh=+ L=B dL=+ preo=B,emergencia,9,0.000000,0.0014,0.0003,13.64612,13.47765
c=M dc=+ h=M dh=+ L=A dL=- preo=M,prop_rapida,9,0.000000,0.0190,0.0043,10.81191,10.67842
c=M dc=+ h=M dh=0 L=A dL=0 preo=B,prop_rapida,9,0.000000,0.0022,0.0005,13.17039,13.00779
c=B dc=+ h=M dh=+ L=M dL=0 preo=A,prop_lenta,9,0.000000,0.1311,0.0298,6.78267,8.60050
c=M dc=+ h=A dh=- L=B dL=0 preo=M,emergencia,9,0.000000,0.0927,0.0211,9.05250,8.94912
c=B dc=+ h=M dh=0 L=B dL=+ preo=A,prop_lenta,9,0.000000,0.1787,0.0407,8.31779,8.21510
c=A dc=+ h=M dh=0 L=B dL=0 preo=A,emergencia,8,0.000000,4.3927,0.9996,0.00000,0.02055
c=M dc=- h=M dh=- L=B dL=0 preo=B,calma,8,0.000000,0.0005,0.0001,14.78499,14.60246
c=M dc=0 h=B dh=0 L=B dL=+ preo=M,calma,8,0.000000,0.0544,0.0124,9.64768,9.53582
c=A dc=0 h=M dh=- L=B dL=+ preo=A,emergencia,8,0.000000,4.3923,0.9995,0.00000,0.02114
c=M dc=+ h=M dh=0 L=M dL=+ preo=A,prop_rapida,8,0.000000,0.3923,0.0893,7.39794,7.31025
c=A dc=0 h=B dh=+ L=A dL=0 preo=B,emergencia,8,0.000000,0.0017,0.0004,9.11729,14.32444
c=A dc=- h=B dh=0 L=B dL=- preo=M,emergencia,8,0.000000,0.0850,0.0193,9.15738,9.04433
c=M dc=- h=B dh=+ L=B dL=0 preo=A,calma,8,0.000000,0.3760,0.0856,7.44650,7.36040
c=A dc=0 h=A dh=+ L=M dL=0 preo=M,emergencia,8,0.000000,4.3661,0.9936,1.14089,1.17560
c=M dc=+ h=A dh=0 L=B dL=+ preo=B,emergencia,8,0.000000,0.0026,0.0006,12.96616,12.81182
c=A dc=- h=B dh=- L=M dL=0 preo=B,emergencia,8,0.000000,0.0006,0.0001,14.62933,14.44872
c=M dc=+ h=M dh=+ L=M dL=- preo=A,prop_rapida,8,0.000000,0.9334,0.2124,6.30716,6.23796
c=M dc=0 h=M dh=0 L=A dL=0 preo=M,calma,8,0.000000,0.0029,0.0007,12.85518,12.69647
c=B dc=- h=A dh=- L=B dL=+ preo=M,emergencia,8,0.000000,3.3155,0.7545,3.96263,3.91370
c=B dc=0 h=A dh=+ L=B dL=0 preo=B,emergencia,8,0.000000,0.0018,0.0004,13.37723,13.21207
c=M dc=+ h=A dh=- L=A dL=- preo=B,emergencia,8,0.000000,0.1700,0.0387,8.37497,8.27157
c=M dc=+ h=A dh=0 L=B dL=+ preo=M,emergencia,8,0.000000,0.5848,0.1331,6.91113,6.83093
c=M dc=0 h=A dh=- L=A dL=- preo=M,emergencia,8,0.000000,0.0759,0.0173,9.28392,9.16930
c=A dc=0 h=B dh=- L=A dL=0 preo=B,emergencia,8,0.000000,0.0011,0.0003,13.87902,13.70768
c=B dc=+ h=A dh=0 L=A dL=0 preo=B,emergencia,8,0.000000,0.0011,0.0002,13.94423,13.77208
c=M dc=- h=B dh=+ L=B dL=0 preo=M,calma,8,0.000000,0.0279,0.0064,10.39114,10.26285
c=M dc=0 h=A dh=+ L=B dL=+ preo=B,emergencia,8,0.000000,0.0339,0.0077,10.17619,10.05056
c=A dc=- h=M dh=- L=B dL=+ preo=A,emergencia,8,0.000000,4.3878,0.9985,0.72097,0.72712
c=B dc=- h=B dh=- L=B dL=+ preo=M,calma,8,0.000000,0.0011,0.0003,13.86758,13.69637
c=A dc=- h=M dh=0 L=B dL=+ preo=B,emergencia,8,0.000000,0.0528,0.0120,9.68727,9.56768
c=M dc=- h=M dh=0 L=A dL=- preo=A,calma,8,0.000000,3.9630,0.9018,3.08105,3.04400
c=A dc=+ h=M dh=+ L=M dL=0 preo=B,emergencia,8,0.000000,0.1126,0.0256,8.84176,8.73260
c=B dc=0 h=M dh=+ L=A dL=- preo=A,calma,8,0.000000,0.0301,0.0069,10.30811,10.18085
c=A dc=- h=M dh=0 L=M dL=0 preo=A,emergencia,8,0.000000,4.3853,0.9979,0.72208,0.73714
c=B dc=- h=B dh=0 L=B dL=+ preo=A,calma,8,0.000000,0.2993,0.0681,3.94795,7.96089
c=M dc=0 h=M dh=+ L=B dL=+ preo=A,calma,7,0.000000,2.9609,0.6738,4.30827,4.25837
c=A dc=- h=M dh=- L=B dL=+ preo=B,emergencia,7,0.000000,0.1224,0.0279,8.74759,8.63959
c=A dc=+ h=B dh=0 L=M dL=+ preo=A,emergencia,7,0.000000,2.0517,0.4669,5.10476,5.05338
c=A dc=0 h=B dh=- L=B dL=- preo=A,emergencia,7,0.000000,2.9973,0.6821,4.26748,4.22499
c=M dc=+ h=A dh=+ L=A dL=0 preo=B,emergencia,7,0.000000,0.2159,0.0491,8.10048,8.00047
c=M dc=+ h=A dh=+ L=A dL=0 preo=A,emergencia,7,0.000000,4.0710,0.9264,2.84626,2.81505
