estado,fase,mejor_accion,work,school,ptrans,conf,coste,Q_max,visitas
c=A dc=- h=A dh=- L=A dL=+ preo=A,emergencia,"(2, 1, 0, 2)",2,1,0,2,7.0,0.9956,2336
c=A dc=- h=A dh=0 L=B dL=- preo=B,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,4.0944,70
c=A dc=- h=A dh=0 L=B dL=- preo=M,emergencia,"(0, 1, 2, 2)",0,1,2,2,7.0,0.3681,31
c=A dc=- h=A dh=0 L=B dL=- preo=A,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,0.7139,545
c=A dc=- h=A dh=0 L=B dL=0 preo=B,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,16
c=A dc=- h=A dh=0 L=B dL=0 preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,6
c=A dc=- h=A dh=0 L=B dL=0 preo=A,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,-0.1050,208
c=A dc=- h=A dh=0 L=B dL=+ preo=B,emergencia,"(0, 1, 2, 1)",0,1,2,1,5.0,0.7468,26
c=A dc=- h=A dh=0 L=B dL=+ preo=M,emergencia,"(0, 2, 0, 2)",0,2,0,2,6.0,0.5133,12
c=A dc=- h=A dh=0 L=B dL=+ preo=A,emergencia,"(2, 0, 2, 2)",2,0,2,2,8.0,0.5435,257
c=A dc=- h=A dh=0 L=M dL=- preo=B,emergencia,"(0, 1, 0, 0)",0,1,0,0,1.0,1.0262,100
c=A dc=- h=A dh=0 L=M dL=- preo=M,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,0.5901,53
c=A dc=- h=A dh=0 L=M dL=- preo=A,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,0.6665,617
c=A dc=- h=A dh=0 L=M dL=0 preo=B,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,0.3655,28
c=A dc=- h=A dh=0 L=M dL=0 preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,7
c=A dc=- h=A dh=0 L=M dL=0 preo=A,emergencia,"(1, 1, 2, 2)",1,1,2,2,8.0,0.7566,323
c=A dc=- h=A dh=0 L=M dL=+ preo=B,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,1.6780,55
c=A dc=- h=A dh=0 L=M dL=+ preo=M,emergencia,"(1, 0, 2, 2)",1,0,2,2,7.0,0.2789,32
c=A dc=- h=A dh=0 L=M dL=+ preo=A,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,0.4966,693
c=A dc=- h=A dh=0 L=A dL=- preo=B,emergencia,"(2, 1, 2, 1)",2,1,2,1,7.0,1.0140,532
c=A dc=- h=A dh=0 L=A dL=- preo=M,emergencia,"(0, 2, 1, 2)",0,2,1,2,7.0,0.8852,278
c=A dc=- h=A dh=0 L=A dL=- preo=A,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,1.2422,4021
c=A dc=- h=A dh=0 L=A dL=0 preo=B,emergencia,"(1, 2, 2, 1)",1,2,2,1,7.0,0.5162,537
c=A dc=- h=A dh=0 L=A dL=0 preo=M,emergencia,"(1, 2, 0, 2)",1,2,0,2,7.0,0.7469,339
c=A dc=- h=A dh=0 L=A dL=0 preo=A,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,1.5845,5913
c=A dc=- h=A dh=0 L=A dL=+ preo=B,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,1.2758,903
c=A dc=- h=A dh=0 L=A dL=+ preo=M,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,1.8496,297
c=A dc=- h=A dh=0 L=A dL=+ preo=A,emergencia,"(2, 1, 1, 2)",2,1,1,2,8.0,1.1120,6187
c=A dc=- h=A dh=+ L=B dL=- preo=B,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,1.0456,891
c=A dc=- h=A dh=+ L=B dL=- preo=M,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,-0.0813,216
c=A dc=- h=A dh=+ L=B dL=- preo=A,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,0.1789,1556
c=A dc=- h=A dh=+ L=B dL=0 preo=B,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,0.3535,239
c=A dc=- h=A dh=+ L=B dL=0 preo=M,emergencia,"(0, 0, 2, 0)",0,0,2,0,2.0,0.8648,62
c=A dc=- h=A dh=+ L=B dL=0 preo=A,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,0.0005,471
c=A dc=- h=A dh=+ L=B dL=+ preo=B,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,0.3470,356
c=A dc=- h=A dh=+ L=B dL=+ preo=M,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,0.2831,99
c=A dc=- h=A dh=+ L=B dL=+ preo=A,emergencia,"(1, 1, 2, 2)",1,1,2,2,8.0,-0.0459,589
c=A dc=- h=A dh=+ L=M dL=- preo=B,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,1.8194,1177
c=A dc=- h=A dh=+ L=M dL=- preo=M,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,0.7767,332
c=A dc=- h=A dh=+ L=M dL=- preo=A,emergencia,"(2, 0, 2, 2)",2,0,2,2,8.0,0.0899,1572
c=A dc=- h=A dh=+ L=M dL=0 preo=B,emergencia,"(2, 1, 0, 2)",2,1,0,2,7.0,0.1461,292
c=A dc=- h=A dh=+ L=M dL=0 preo=M,emergencia,"(1, 1, 1, 2)",1,1,1,2,7.0,3.7266,87
c=A dc=- h=A dh=+ L=M dL=0 preo=A,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,0.1828,689
c=A dc=- h=A dh=+ L=M dL=+ preo=B,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,0.6786,879
c=A dc=- h=A dh=+ L=M dL=+ preo=M,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,0.6047,242
c=A dc=- h=A dh=+ L=M dL=+ preo=A,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,-0.0906,1624
c=A dc=- h=A dh=+ L=A dL=- preo=B,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,1.9654,3726
c=A dc=- h=A dh=+ L=A dL=- preo=M,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,0.3167,1309
c=A dc=- h=A dh=+ L=A dL=- preo=A,emergencia,"(1, 2, 2, 1)",1,2,2,1,7.0,0.5446,11739
c=A dc=- h=A dh=+ L=A dL=0 preo=B,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,1.0597,6594
c=A dc=- h=A dh=+ L=A dL=0 preo=M,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,0.5541,2632
c=A dc=- h=A dh=+ L=A dL=0 preo=A,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,0.4652,21358
c=A dc=- h=A dh=+ L=A dL=+ preo=B,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,0.9076,13436
c=A dc=- h=A dh=+ L=A dL=+ preo=M,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,0.5155,3032
c=A dc=- h=A dh=+ L=A dL=+ preo=A,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,0.3489,31538
c=A dc=0 h=B dh=- L=B dL=- preo=B,emergencia,"(0, 0, 0, 2)",0,0,0,2,4.0,10.6028,215
c=A dc=0 h=B dh=- L=B dL=- preo=M,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,12.8591,176
c=A dc=0 h=B dh=- L=B dL=- preo=A,emergencia,"(1, 2, 1, 1)",1,2,1,1,6.0,4.2675,7
c=A dc=0 h=B dh=- L=B dL=0 preo=B,emergencia,"(2, 1, 0, 0)",2,1,0,0,3.0,11.0654,62
c=A dc=0 h=B dh=- L=B dL=0 preo=M,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,11.1980,26
c=A dc=0 h=B dh=- L=B dL=0 preo=A,emergencia,"(0, 2, 0, 2)",0,2,0,2,6.0,2.3318,1
c=A dc=0 h=B dh=- L=B dL=+ preo=B,emergencia,"(2, 0, 0, 2)",2,0,0,2,6.0,13.3139,379
c=A dc=0 h=B dh=- L=B dL=+ preo=M,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,11.6043,48
c=A dc=0 h=B dh=- L=B dL=+ preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,2
c=A dc=0 h=B dh=- L=M dL=- preo=B,emergencia,"(1, 1, 2, 0)",1,1,2,0,4.0,10.4068,129
c=A dc=0 h=B dh=- L=M dL=- preo=M,emergencia,"(0, 1, 0, 1)",0,1,0,1,3.0,8.8340,67
c=A dc=0 h=B dh=- L=M dL=- preo=A,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,2.2949,3
c=A dc=0 h=B dh=- L=M dL=0 preo=B,emergencia,"(1, 1, 1, 0)",1,1,1,0,3.0,13.4502,9
c=A dc=0 h=B dh=- L=M dL=0 preo=M,emergencia,"(1, 2, 0, 1)",1,2,0,1,5.0,7.4006,23
c=A dc=0 h=B dh=- L=M dL=0 preo=A,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,4.9662,2
c=A dc=0 h=B dh=- L=M dL=+ preo=B,emergencia,"(0, 0, 1, 0)",0,0,1,0,1.0,13.2069,880
c=A dc=0 h=B dh=- L=M dL=+ preo=M,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,12.0128,149
c=A dc=0 h=B dh=- L=M dL=+ preo=A,emergencia,"(1, 0, 0, 2)",1,0,0,2,5.0,4.0186,12
c=A dc=0 h=B dh=- L=A dL=- preo=B,emergencia,"(2, 2, 2, 1)",2,2,2,1,8.0,15.4802,21
c=A dc=0 h=B dh=- L=A dL=- preo=M,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,8.4913,2
c=A dc=0 h=B dh=- L=A dL=- preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=A dc=0 h=B dh=- L=A dL=0 preo=B,emergencia,"(0, 0, 1, 1)",0,0,1,1,3.0,13.8790,8
c=A dc=0 h=B dh=- L=A dL=0 preo=M,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,10.0627,3
c=A dc=0 h=B dh=- L=A dL=0 preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=A dc=0 h=B dh=- L=A dL=+ preo=B,emergencia,"(1, 1, 2, 1)",1,1,2,1,6.0,12.5198,1079
c=A dc=0 h=B dh=- L=A dL=+ preo=M,emergencia,"(0, 1, 1, 0)",0,1,1,0,2.0,9.0988,178
c=A dc=0 h=B dh=- L=A dL=+ preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=A dc=0 h=B dh=0 L=B dL=- preo=B,emergencia,"(2, 1, 2, 0)",2,1,2,0,5.0,10.9924,1530
c=A dc=0 h=B dh=0 L=B dL=- preo=M,emergencia,"(2, 1, 0, 2)",2,1,0,2,7.0,6.3420,209
c=A dc=0 h=B dh=0 L=B dL=- preo=A,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,1.6761,1693
c=A dc=0 h=B dh=0 L=B dL=0 preo=B,emergencia,"(1, 0, 0, 0)",1,0,0,0,1.0,11.0851,254
c=A dc=0 h=B dh=0 L=B dL=0 preo=M,emergencia,"(2, 1, 1, 2)",2,1,1,2,8.0,8.6196,30
c=A dc=0 h=B dh=0 L=B dL=0 preo=A,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,0.8991,287
c=A dc=0 h=B dh=0 L=B dL=+ preo=B,emergencia,"(2, 0, 1, 1)",2,0,1,1,5.0,10.3645,479
c=A dc=0 h=B dh=0 L=B dL=+ preo=M,emergencia,"(1, 1, 2, 0)",1,1,2,0,4.0,3.5429,32
c=A dc=0 h=B dh=0 L=B dL=+ preo=A,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,0.8741,357
c=A dc=0 h=B dh=0 L=M dL=- preo=B,emergencia,"(0, 0, 1, 1)",0,0,1,1,3.0,13.0596,564
c=A dc=0 h=B dh=0 L=M dL=- preo=M,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,7.5963,63
c=A dc=0 h=B dh=0 L=M dL=- preo=A,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,1.1422,651
c=A dc=0 h=B dh=0 L=M dL=0 preo=B,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,11.1954,254
c=A dc=0 h=B dh=0 L=M dL=0 preo=M,emergencia,"(0, 2, 1, 2)",0,2,1,2,7.0,7.5779,24
c=A dc=0 h=B dh=0 L=M dL=0 preo=A,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,1.3641,294
c=A dc=0 h=B dh=0 L=M dL=+ preo=B,emergencia,"(2, 2, 1, 2)",2,2,1,2,9.0,11.7933,1215
c=A dc=0 h=B dh=0 L=M dL=+ preo=M,emergencia,"(2, 1, 0, 2)",2,1,0,2,7.0,9.5515,105
c=A dc=0 h=B dh=0 L=M dL=+ preo=A,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,1.2856,919
c=A dc=0 h=B dh=0 L=A dL=- preo=B,emergencia,"(1, 0, 1, 0)",1,0,1,0,2.0,12.6855,106
c=A dc=0 h=B dh=0 L=A dL=- preo=M,emergencia,"(1, 2, 0, 0)",1,2,0,0,3.0,2.2715,15
c=A dc=0 h=B dh=0 L=A dL=- preo=A,emergencia,"(1, 0, 0, 2)",1,0,0,2,5.0,0.7235,118
c=A dc=0 h=B dh=0 L=A dL=0 preo=B,emergencia,"(2, 2, 1, 0)",2,2,1,0,5.0,8.8118,119
c=A dc=0 h=B dh=0 L=A dL=0 preo=M,emergencia,"(1, 0, 1, 2)",1,0,1,2,6.0,5.9100,6
c=A dc=0 h=B dh=0 L=A dL=0 preo=A,emergencia,"(2, 2, 1, 1)",2,2,1,1,7.0,0.7537,152
c=A dc=0 h=B dh=0 L=A dL=+ preo=B,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,12.0463,1280
c=A dc=0 h=B dh=0 L=A dL=+ preo=M,emergencia,"(0, 1, 1, 0)",0,1,1,0,2.0,7.5276,134
c=A dc=0 h=B dh=0 L=A dL=+ preo=A,emergencia,"(0, 2, 2, 2)",0,2,2,2,8.0,1.6627,1204
c=A dc=0 h=B dh=+ L=B dL=- preo=B,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,13.2757,477
c=A dc=0 h=B dh=+ L=B dL=- preo=M,emergencia,"(2, 1, 1, 2)",2,1,1,2,8.0,7.0128,247
c=A dc=0 h=B dh=+ L=B dL=- preo=A,emergencia,"(1, 0, 0, 0)",1,0,0,0,1.0,2.0155,207
c=A dc=0 h=B dh=+ L=B dL=0 preo=B,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,14.2821,73
c=A dc=0 h=B dh=+ L=B dL=0 preo=M,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,11.2758,19
c=A dc=0 h=B dh=+ L=B dL=0 preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,16
c=A dc=0 h=B dh=+ L=B dL=+ preo=B,emergencia,"(1, 2, 2, 1)",1,2,2,1,7.0,13.8439,355
c=A dc=0 h=B dh=+ L=B dL=+ preo=M,emergencia,"(2, 1, 0, 1)",2,1,0,1,5.0,7.5447,27
c=A dc=0 h=B dh=+ L=B dL=+ preo=A,emergencia,"(1, 0, 1, 2)",1,0,1,2,6.0,6.2028,28
c=A dc=0 h=B dh=+ L=M dL=- preo=B,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,14.8976,141
c=A dc=0 h=B dh=+ L=M dL=- preo=M,emergencia,"(1, 1, 2, 0)",1,1,2,0,4.0,10.5010,44
c=A dc=0 h=B dh=+ L=M dL=- preo=A,emergencia,"(0, 1, 1, 0)",0,1,1,0,2.0,4.6382,41
c=A dc=0 h=B dh=+ L=M dL=0 preo=B,emergencia,"(2, 0, 2, 1)",2,0,2,1,6.0,12.2313,6
c=A dc=0 h=B dh=+ L=M dL=0 preo=M,emergencia,"(0, 2, 1, 0)",0,2,1,0,3.0,3.4277,1
c=A dc=0 h=B dh=+ L=M dL=0 preo=A,emergencia,"(1, 2, 1, 2)",1,2,1,2,8.0,4.4148,14
c=A dc=0 h=B dh=+ L=M dL=+ preo=B,emergencia,"(0, 0, 1, 1)",0,0,1,1,3.0,14.1690,993
c=A dc=0 h=B dh=+ L=M dL=+ preo=M,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,11.7139,60
c=A dc=0 h=B dh=+ L=M dL=+ preo=A,emergencia,"(1, 0, 2, 2)",1,0,2,2,7.0,4.8757,41
c=A dc=0 h=B dh=+ L=A dL=- preo=B,emergencia,"(0, 1, 0, 1)",0,1,0,1,3.0,13.7075,131
c=A dc=0 h=B dh=+ L=A dL=- preo=M,emergencia,"(2, 0, 2, 2)",2,0,2,2,8.0,9.4941,4
c=A dc=0 h=B dh=+ L=A dL=- preo=A,emergencia,"(2, 2, 1, 0)",2,2,1,0,5.0,1.4855,6
c=A dc=0 h=B dh=+ L=A dL=0 preo=B,emergencia,"(1, 2, 2, 2)",1,2,2,2,9.0,14.5717,8
c=A dc=0 h=B dh=+ L=A dL=0 preo=M,emergencia,"(0, 0, 1, 2)",0,0,1,2,5.0,2.7157,2
c=A dc=0 h=B dh=+ L=A dL=0 preo=A,emergencia,"(0, 1, 1, 1)",0,1,1,1,4.0,2.5729,2
c=A dc=0 h=B dh=+ L=A dL=+ preo=B,emergencia,"(0, 0, 0, 1)",0,0,0,1,2.0,13.6151,541
c=A dc=0 h=B dh=+ L=A dL=+ preo=M,emergencia,"(2, 1, 1, 1)",2,1,1,1,6.0,10.9333,95
c=A dc=0 h=B dh=+ L=A dL=+ preo=A,emergencia,"(0, 0, 1, 1)",0,0,1,1,3.0,1.6834,3
c=A dc=0 h=M dh=- L=B dL=- preo=B,emergencia,"(2, 0, 1, 2)",2,0,1,2,7.0,10.7749,24
c=A dc=0 h=M dh=- L=B dL=- preo=M,emergencia,"(0, 0, 2, 1)",0,0,2,1,4.0,8.8312,72
c=A dc=0 h=M dh=- L=B dL=- preo=A,emergencia,"(1, 2, 0, 0)",1,2,0,0,3.0,0.7057,24
c=A dc=0 h=M dh=- L=B dL=0 preo=B,emergencia,"(2, 0, 0, 2)",2,0,0,2,6.0,11.7729,10
c=A dc=0 h=M dh=- L=B dL=0 preo=M,emergencia,"(2, 2, 1, 0)",2,2,1,0,5.0,10.2085,16
c=A dc=0 h=M dh=- L=B dL=0 preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,7
c=A dc=0 h=M dh=- L=B dL=+ preo=B,emergencia,"(2, 0, 2, 1)",2,0,2,1,6.0,12.3826,36
c=A dc=0 h=M dh=- L=B dL=+ preo=M,emergencia,"(2, 0, 2, 2)",2,0,2,2,8.0,10.0887,35
c=A dc=0 h=M dh=- L=B dL=+ preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,8
c=A dc=0 h=M dh=- L=M dL=- preo=B,emergencia,"(0, 2, 1, 1)",0,2,1,1,5.0,7.6658,17
c=A dc=0 h=M dh=- L=M dL=- preo=M,emergencia,"(1, 1, 0, 0)",1,1,0,0,2.0,9.7863,40
c=A dc=0 h=M dh=- L=M dL=- preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,2
c=A dc=0 h=M dh=- L=M dL=0 preo=B,emergencia,"(0, 0, 2, 0)",0,0,2,0,2.0,9.2566,5
c=A dc=0 h=M dh=- L=M dL=0 preo=M,emergencia,"(0, 2, 0, 0)",0,2,0,0,2.0,9.8576,18
c=A dc=0 h=M dh=- L=M dL=0 preo=A,emergencia,"(0, 1, 1, 1)",0,1,1,1,4.0,1.3919,3
c=A dc=0 h=M dh=- L=M dL=+ preo=B,emergencia,"(0, 0, 0, 2)",0,0,0,2,4.0,9.3629,59
c=A dc=0 h=M dh=- L=M dL=+ preo=M,emergencia,"(1, 1, 2, 2)",1,1,2,2,8.0,10.9444,103
c=A dc=0 h=M dh=- L=M dL=+ preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,30
c=A dc=0 h=M dh=- L=A dL=- preo=B,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=A dc=0 h=M dh=- L=A dL=- preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=A dc=0 h=M dh=- L=A dL=- preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,1
c=A dc=0 h=M dh=- L=A dL=0 preo=B,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=A dc=0 h=M dh=- L=A dL=0 preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,1
c=A dc=0 h=M dh=- L=A dL=0 preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=A dc=0 h=M dh=- L=A dL=+ preo=B,emergencia,"(0, 1, 1, 0)",0,1,1,0,2.0,12.1211,315
c=A dc=0 h=M dh=- L=A dL=+ preo=M,emergencia,"(0, 1, 0, 1)",0,1,0,1,3.0,9.0045,153
c=A dc=0 h=M dh=- L=A dL=+ preo=A,emergencia,"(2, 1, 2, 0)",2,1,2,0,5.0,1.3893,5
c=A dc=0 h=M dh=0 L=B dL=- preo=B,emergencia,"(2, 1, 0, 0)",2,1,0,0,3.0,4.1487,161
c=A dc=0 h=M dh=0 L=B dL=- preo=M,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,11.2938,74
c=A dc=0 h=M dh=0 L=B dL=- preo=A,emergencia,"(2, 1, 0, 2)",2,1,0,2,7.0,-0.0988,166
c=A dc=0 h=M dh=0 L=B dL=0 preo=B,emergencia,"(1, 1, 1, 1)",1,1,1,1,5.0,5.6238,35
c=A dc=0 h=M dh=0 L=B dL=0 preo=M,emergencia,"(0, 0, 2, 1)",0,0,2,1,4.0,8.9097,17
c=A dc=0 h=M dh=0 L=B dL=0 preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,33
c=A dc=0 h=M dh=0 L=B dL=+ preo=B,emergencia,"(2, 0, 2, 1)",2,0,2,1,6.0,3.8984,78
c=A dc=0 h=M dh=0 L=B dL=+ preo=M,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,12.0800,33
c=A dc=0 h=M dh=0 L=B dL=+ preo=A,emergencia,"(1, 1, 2, 2)",1,1,2,2,8.0,0.2049,29
c=A dc=0 h=M dh=0 L=M dL=- preo=B,emergencia,"(0, 0, 1, 0)",0,0,1,0,1.0,5.8405,66
c=A dc=0 h=M dh=0 L=M dL=- preo=M,emergencia,"(0, 2, 2, 1)",0,2,2,1,6.0,7.0304,52
c=A dc=0 h=M dh=0 L=M dL=- preo=A,emergencia,"(2, 1, 2, 2)",2,1,2,2,9.0,0.2470,64
c=A dc=0 h=M dh=0 L=M dL=0 preo=B,emergencia,"(1, 0, 0, 0)",1,0,0,0,1.0,1.9204,23
c=A dc=0 h=M dh=0 L=M dL=0 preo=M,emergencia,"(1, 0, 2, 2)",1,0,2,2,7.0,9.4958,20
c=A dc=0 h=M dh=0 L=M dL=0 preo=A,emergencia,"(0, 0, 0, 1)",0,0,0,1,2.0,0.0000,38
c=A dc=0 h=M dh=0 L=M dL=+ preo=B,emergencia,"(2, 2, 2, 0)",2,2,2,0,6.0,4.5056,152
c=A dc=0 h=M dh=0 L=M dL=+ preo=M,emergencia,"(2, 0, 1, 2)",2,0,1,2,7.0,10.8138,76
c=A dc=0 h=M dh=0 L=M dL=+ preo=A,emergencia,"(0, 1, 0, 0)",0,1,0,0,1.0,0.2904,102
c=A dc=0 h=M dh=0 L=A dL=- preo=B,emergencia,"(2, 2, 1, 0)",2,2,1,0,5.0,2.2866,9
c=A dc=0 h=M dh=0 L=A dL=- preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,0
c=A dc=0 h=M dh=0 L=A dL=- preo=A,emergencia,"(1, 1, 1, 2)",1,1,1,2,7.0,0.0618,9
c=A dc=0 h=M dh=0 L=A dL=0 preo=B,emergencia,"(0, 1, 2, 0)",0,1,2,0,3.0,4.2906,17
c=A dc=0 h=M dh=0 L=A dL=0 preo=M,emergencia,"(0, 1, 2, 1)",0,1,2,1,5.0,6.6332,3
c=A dc=0 h=M dh=0 L=A dL=0 preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,6
c=A dc=0 h=M dh=0 L=A dL=+ preo=B,emergencia,"(2, 0, 2, 1)",2,0,2,1,6.0,4.9955,407
c=A dc=0 h=M dh=0 L=A dL=+ preo=M,emergencia,"(2, 1, 2, 1)",2,1,2,1,7.0,6.5754,111
c=A dc=0 h=M dh=0 L=A dL=+ preo=A,emergencia,"(0, 0, 1, 2)",0,0,1,2,5.0,0.0000,117
c=A dc=0 h=M dh=+ L=B dL=- preo=B,emergencia,"(2, 1, 0, 2)",2,1,0,2,7.0,2.7621,121
c=A dc=0 h=M dh=+ L=B dL=- preo=M,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,8.2157,171
c=A dc=0 h=M dh=+ L=B dL=- preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,78
c=A dc=0 h=M dh=+ L=B dL=0 preo=B,emergencia,"(1, 1, 0, 0)",1,1,0,0,2.0,9.7461,30
c=A dc=0 h=M dh=+ L=B dL=0 preo=M,emergencia,"(1, 2, 1, 1)",1,2,1,1,6.0,7.8184,20
c=A dc=0 h=M dh=+ L=B dL=0 preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,11
c=A dc=0 h=M dh=+ L=B dL=+ preo=B,emergencia,"(2, 1, 0, 2)",2,1,0,2,7.0,12.0424,115
c=A dc=0 h=M dh=+ L=B dL=+ preo=M,emergencia,"(0, 2, 1, 0)",0,2,1,0,3.0,8.6572,67
c=A dc=0 h=M dh=+ L=B dL=+ preo=A,emergencia,"(0, 0, 1, 2)",0,0,1,2,5.0,1.0167,22
c=A dc=0 h=M dh=+ L=M dL=- preo=B,emergencia,"(1, 1, 0, 1)",1,1,0,1,4.0,7.2780,101
c=A dc=0 h=M dh=+ L=M dL=- preo=M,emergencia,"(2, 2, 1, 0)",2,2,1,0,5.0,10.6795,96
c=A dc=0 h=M dh=+ L=M dL=- preo=A,emergencia,"(0, 0, 1, 0)",0,0,1,0,1.0,0.0366,21
c=A dc=0 h=M dh=+ L=M dL=0 preo=B,emergencia,"(0, 2, 0, 2)",0,2,0,2,6.0,6.7668,11
c=A dc=0 h=M dh=+ L=M dL=0 preo=M,emergencia,"(0, 0, 0, 2)",0,0,0,2,4.0,9.6004,27
c=A dc=0 h=M dh=+ L=M dL=0 preo=A,emergencia,"(0, 0, 0, 0)",0,0,0,0,0.0,0.0000,10
c=A dc=0 h=M dh=+ L=M dL=+ preo=B,emergencia,"(2, 2, 2, 2)",2,2,2,2,10.0,12.5187,243
c=A dc=0 h=M dh=+ L=M dL=+ preo=M,emergencia,"(2, 0, 0, 0)",2,0,0,0,2.0,8.4420,139
c=A dc=0 h=M dh=+ L=M dL=+ preo=A,emergencia,"(0, 2, 2, 1)",0,2,2,1,6.0,1.1467,39
c=A dc=0 h=M dh=+ L=A dL=- preo=B,emergencia,"(1, 0, 1, 1)",1,0,1,1,4.0,8.4189,18
c=A dc=0 h=M dh=+ L=A dL=- preo=M,emergencia,"(2, 2, 0, 2)",2,2,0,2,8.0,10.6591,5
